#id lon lat MIH hmax period
id03676 86.466700 19.838500 -1.00 -1.00 -1
id03677 86.300000 19.787000 -1.00 -1.00 -1
id03678 86.128600 19.733300 -1.00 -1.00 -1
id03679 85.983300 19.666700 -1.00 -1.00 -1
id03680 85.766700 19.673700 0.02 0.01 1043
id03681 85.566700 19.634400 0.04 0.01 741
id03682 85.463600 19.533300 -1.00 -1.00 -1
id03683 85.305600 19.433300 -1.00 -1.00 -1
id03684 85.155600 19.366700 0.02 0.01 846
id03685 85.063300 19.233300 0.01 0.00 928
id03686 84.966700 19.094400 -1.00 -1.00 -1
id03687 84.862500 18.966700 -1.00 -1.00 -1
id03688 84.738100 18.833300 0.01 0.00 1870
id03689 84.633300 18.726700 0.01 0.00 2036
id03690 84.553300 18.566700 0.01 0.00 1411
id03691 84.496300 18.400000 0.01 0.00 1200
id03692 84.366700 18.300000 0.01 0.00 1230
id03693 84.366700 18.192500 0.01 0.00 1296
id03694 84.233300 18.133300 -1.00 -1.00 -1
id03695 84.100000 18.100000 0.01 0.00 934
id03696 83.930000 18.066700 0.01 0.00 1095
id03697 83.866700 17.900000 0.01 0.00 1049
id03698 83.733300 17.790900 0.01 0.00 1241
id03699 83.591700 17.700000 0.01 0.00 1185
id03700 83.455600 17.600000 0.01 0.00 1206
id03701 83.413900 17.400000 0.01 0.00 1140
id03702 83.211100 17.366700 0.01 0.00 1069
id03703 83.033300 17.303300 0.01 0.00 1530
id03704 82.866700 17.243300 0.01 0.00 1484
id03705 82.700000 17.170000 0.01 0.00 1851
id03706 82.583300 17.066700 0.01 0.00 2932
id03707 82.480000 16.933300 0.01 0.00 2468
id03708 82.430800 16.766700 0.01 0.00 6202
id03709 82.366700 16.579200 0.01 0.00 3678
id03710 82.233300 16.470400 0.01 0.00 3938
id03711 82.122200 16.366700 0.01 0.00 3830
id03712 81.966700 16.291700 0.01 0.00 3854
id03713 81.768900 16.233300 0.01 0.00 3990
id03714 81.600000 16.196100 0.01 0.01 3660
id03715 81.433300 16.124100 0.02 0.01 2471
id03716 81.342700 15.966700 0.01 0.01 3424
id03717 81.200000 15.888000 0.01 0.01 2816
id03718 81.066700 15.785100 0.01 0.00 2726
id03719 80.943800 15.666700 0.01 0.00 3056
id03720 80.769800 15.600000 0.01 0.00 3089
id03721 80.633300 15.600000 0.01 0.00 3075
id03722 80.500000 15.538900 -1.00 -1.00 -1
id03723 80.500000 15.389500 0.01 0.00 2354
id03724 80.366700 15.345100 -1.00 -1.00 -1
id03725 80.300000 15.177800 0.01 0.01 4087
id03726 80.240000 15.000000 0.02 0.01 3056
id03727 80.214600 14.800000 0.02 0.01 2550
id03728 80.270500 14.633300 0.03 0.01 2039
id03729 80.300000 14.456400 0.04 0.01 854
id03730 80.276900 14.300000 0.03 0.01 1267
id03731 80.366700 14.133300 -1.00 -1.00 -1
id03732 80.337900 13.966700 0.03 0.01 2246
id03733 80.377800 13.766700 -1.00 -1.00 -1
id03734 80.427800 13.566700 0.03 0.01 4860
id03735 80.439800 13.366700 0.03 0.01 2700
id03736 80.417500 13.166700 0.04 0.01 2490
id03737 80.412800 12.933300 0.04 0.02 2415
id03738 80.420000 12.700000 0.03 0.01 2496
id03739 80.466700 12.533300 0.05 0.02 2086
id03740 80.466700 12.373300 0.05 0.02 1968
id03741 80.355600 12.400000 0.06 0.02 2160
id03742 80.333300 12.262200 0.04 0.01 2028
id03743 80.200000 12.155000 0.05 0.02 1942
id03744 80.067300 12.100000 0.03 0.01 3037
id03745 80.018900 11.933300 0.04 0.02 2293
id03746 79.904600 11.800000 0.05 0.02 2609
id03747 79.900000 11.659800 0.07 0.02 1102
id03748 79.886000 11.500000 0.05 0.01 1030
