#id lon lat MIH hmax period
id03529 98.300000 7.315200 1.85 0.31 1349
id03530 98.161900 7.400000 1.80 0.36 1290
id03531 98.133300 7.566700 1.99 0.35 1769
id03532 98.113300 7.766700 2.04 0.33 1004
id03533 97.933300 7.832400 2.07 0.37 2002
id03534 97.900000 8.000000 2.05 0.35 1713
id03535 98.000000 8.133300 1.81 0.33 2491
id03536 98.083300 8.266700 2.37 0.42 2179
id03537 98.110300 8.466700 2.44 0.43 1969
id03538 98.133300 8.666700 2.69 0.47 1972
id03539 98.000000 8.752400 2.67 0.50 2633
id03540 97.833300 8.737500 3.19 0.54 1503
id03541 97.672700 8.833300 3.22 0.56 266
id03542 97.640000 9.033300 1.94 0.47 2729
id03543 97.700000 9.233300 2.47 0.42 1590
id03544 97.687900 9.400000 1.66 0.40 2726
id03545 97.700000 9.600000 1.85 0.32 1826
id03546 97.650000 9.766700 1.68 0.36 1724
id03547 97.500000 9.852400 1.47 0.32 1923
id03548 97.556300 10.000000 1.70 0.28 1252
id03549 97.655600 10.133300 1.55 0.27 1882
id03550 97.666700 10.320000 1.48 0.29 1121
id03551 97.578600 10.466700 1.27 0.24 831
id03552 97.584200 10.633300 1.09 0.24 1889
id03553 97.538100 10.833300 1.19 0.21 456
id03554 97.520000 11.033300 1.15 0.25 1732
id03555 97.554200 11.233300 0.91 0.22 2620
id03556 97.500000 11.422200 0.80 0.14 1975
id03557 97.419000 11.566700 0.69 0.14 4258
id03558 97.364800 11.733300 0.94 0.19 1450
id03559 97.400000 11.911100 1.28 0.23 517
id03560 97.460000 12.100000 1.13 0.18 1023
id03561 97.446700 12.333300 0.59 0.14 2305
id03562 97.444400 12.566700 0.62 0.14 2062
id03563 97.508300 12.733300 0.70 0.13 930
id03564 97.633300 12.858300 0.56 0.11 1013
id03565 97.766700 12.756100 0.48 0.10 1611
id03566 97.812400 12.800000 -1.00 -1.00 -1
id03567 97.841700 12.933300 0.53 0.10 596
id03568 97.833300 13.166700 0.52 0.10 1117
id03569 97.833300 13.300000 0.51 0.10 1326
id03570 97.700000 13.400000 0.56 0.12 1732
id03571 97.616700 13.566700 0.99 0.19 771
id03572 97.533300 13.716700 0.74 0.14 744
id03573 97.466700 13.866700 0.44 0.11 2865
id03574 97.425000 14.066700 0.69 0.13 855
id03575 97.433300 14.266700 0.66 0.13 3183
id03576 97.500000 14.400000 0.51 0.13 3019
id03577 97.500000 14.533300 0.68 0.13 2965
id03578 97.700000 14.566700 1.00 0.17 1328
id03579 97.820500 14.700000 0.34 0.09 4068
id03580 97.746000 14.866700 0.57 0.15 3277
id03581 97.600000 14.894400 0.59 0.13 102
id03582 97.483300 14.766700 0.79 0.14 2326
id03583 97.366700 14.633300 0.94 0.15 1113
id03584 97.233300 14.750000 0.70 0.13 538
id03585 97.133300 14.883300 0.54 0.12 2182
id03586 97.033300 15.008300 0.53 0.12 1869
id03587 96.900000 15.100000 0.39 0.10 3513
id03588 96.733300 15.166700 0.53 0.11 1402
id03589 96.566700 15.240000 0.43 0.10 2361
id03590 96.366700 15.275000 0.42 0.11 3311
id03591 96.166700 15.253300 0.64 0.14 2138
id03592 95.966700 15.223800 0.62 0.14 1987
id03593 95.733300 15.233300 0.74 0.16 1867
id03594 95.533300 15.241700 1.02 0.17 397
id03595 95.333300 15.200000 0.74 0.17 2093
id03596 95.166700 15.133300 0.68 0.18 3337
id03597 95.000000 15.088900 0.99 0.21 1843
